,overall
4,1
5,4
12,5
15,5
16,2
18,4
19,4
20,5
22,3
23,4
24,5
26,4
31,4
33,2
34,5
35,5
37,5
41,5
44,4
45,5
49,1
52,4
53,1
56,2
57,1
58,2
59,5
61,4
63,5
64,3
66,5
67,5
68,5
70,5
71,3
72,5
75,5
76,5
77,5
78,5
80,4
81,5
82,5
85,4
87,5
88,4
90,3
91,5
93,5
95,4
96,4
97,5
98,5
99,4
100,5
101,5
102,4
103,4
104,4
106,5
107,5
108,5
109,5
110,3
114,5
115,5
123,5
126,5
129,4
130,5
131,5
132,4
134,5
136,5
137,5
140,5
141,5
142,4
143,1
145,3
147,5
148,4
149,4
150,4
151,5
152,5
153,5
158,5
159,5
162,5
163,5
164,5
165,5
167,5
168,5
169,5
170,5
171,5
172,3
173,5
190,5
197,5
202,4
209,5
210,3
220,5
226,5
227,4
229,5
231,4
233,3
244,5
246,4
248,5
251,3
254,5
257,3
258,5
262,5
263,5
267,5
275,4
277,5
278,5
281,5
285,4
292,5
297,5
299,5
300,4
301,5
302,5
304,5
306,5
307,4
308,3
312,4
313,4
314,2
319,3
320,5
321,5
322,5
327,5
328,4
330,5
331,5
332,5
333,5
334,4
335,5
336,4
337,4
338,2
339,4
341,5
343,5
344,5
345,3
346,5
347,4
349,4
350,4
354,5
358,5
367,5
368,5
369,3
377,4
381,5
382,1
397,5
410,5
418,2
419,5
434,5
440,5
448,3
453,4
454,5
456,5
460,5
471,5
487,5
488,4
489,5
494,4
508,5
518,5
520,4
521,5
525,5
529,4
533,5
536,5
537,5
538,5
541,5
542,5
544,5
550,5
552,5
553,5
556,1
557,4
558,4
559,4
560,5
561,5
562,5
564,2
565,4
566,4
571,5
573,1
582,4
588,5
596,4
600,5
602,4
613,5
615,5
619,5
628,3
634,5
635,5
640,4
643,5
644,5
645,5
646,5
649,5
654,5
655,5
660,5
665,5
666,5
668,3
673,4
675,4
681,5
683,5
692,4
697,5
700,5
706,5
708,4
718,5
720,5
721,5
722,5
724,5
726,5
728,3
730,1
731,5
732,4
734,5
740,3
744,5
746,5
748,4
753,5
754,5
755,5
756,5
757,4
759,5
761,4
762,4
763,1
764,5
765,5
766,4
767,5
775,5
776,2
777,4
778,5
780,5
782,5
785,5
787,5
788,5
790,5
791,4
792,5
794,5
800,5
801,5
803,4
821,5
822,4
825,5
827,5
833,5
834,5
835,5
836,5
837,5
838,5
840,3
843,2
845,4
855,5
863,5
865,5
868,5
869,3
876,5
885,5
886,5
887,5
889,5
902,3
916,5
919,4
925,5
928,5
929,5
930,5
931,5
934,4
935,4
936,5
937,5
938,1
939,4
940,4
943,1
946,5
947,5
948,5
949,2
950,5
951,2
954,5
955,4
956,5
957,4
959,5
963,3
